timestamp,ax,ay,az
2026-07-08 09:37:05.567658+00:00,-0.0117,-0.9243,-0.0151
2026-07-08 09:37:05.568245+00:00,-0.1557,-1.0258,0.0039
2026-07-08 09:37:05.568559+00:00,-0.1669,-1.1283,0.0468
2026-07-08 09:37:05.568904+00:00,-0.1122,-0.9209,-0.022
2026-07-08 09:37:05.569223+00:00,-0.1708,-1.1117,0.0517
2026-07-08 09:37:05.631353+00:00,0.0088,-0.9087,-0.039
2026-07-08 09:37:05.631645+00:00,-0.0883,-1.0414,0.0249
2026-07-08 09:37:05.631804+00:00,-0.0752,-0.9394,-0.0151
2026-07-08 09:37:05.632697+00:00,-0.1449,-1.0277,0.0063
2026-07-08 09:37:05.632878+00:00,-0.1786,-0.997,0.103
2026-07-08 09:37:05.632990+00:00,-0.0473,-0.9916,-0.021
2026-07-08 09:37:05.694461+00:00,-0.0337,-1.1058,0.0488
2026-07-08 09:37:05.695048+00:00,0.0054,-0.9038,-0.0332
2026-07-08 09:37:05.695398+00:00,-0.082,-1.0594,0.0532
2026-07-08 09:37:05.695693+00:00,-0.0756,-0.9331,-0.0181
2026-07-08 09:37:05.695927+00:00,-0.0903,-1.0292,0.0112
2026-07-08 09:37:05.696138+00:00,-0.1684,-0.9931,-0.0268
2026-07-08 09:37:05.696406+00:00,-0.0561,-1.0024,0.001
2026-07-08 09:37:05.755475+00:00,-0.0205,-1.0565,0.0503
2026-07-08 09:37:05.755766+00:00,-0.1161,-0.9091,-0.0361
2026-07-08 09:37:05.755948+00:00,-0.0756,-1.0653,0.0547
2026-07-08 09:37:05.756030+00:00,-0.0771,-0.9296,-0.0322
2026-07-08 09:37:05.756098+00:00,-0.0883,-0.9955,0.0137
2026-07-08 09:37:05.756163+00:00,-0.0961,-0.9872,-0.0264
2026-07-08 09:37:05.804497+00:00,-0.0161,-0.9945,-0.001
2026-07-08 09:37:05.804840+00:00,-0.0156,-1.0575,0.0517
2026-07-08 09:37:05.805027+00:00,-0.124,-1.0048,-0.0068
2026-07-08 09:37:05.805268+00:00,-0.0776,-1.1512,0.0566
2026-07-08 09:37:05.805376+00:00,-0.0586,-0.9306,-0.0376
2026-07-08 09:37:05.851487+00:00,-0.0717,-1.0014,0.0181
2026-07-08 09:37:05.851964+00:00,-0.0844,-0.873,-0.0278
2026-07-08 09:37:05.852244+00:00,-0.1649,-1.0297,-0.0044
2026-07-08 09:37:05.852368+00:00,-0.0454,-1.0697,0.0503
2026-07-08 09:37:05.903265+00:00,-0.1386,-0.9999,-0.021
2026-07-08 09:37:05.903757+00:00,-0.0913,-1.1561,0.0517
2026-07-08 09:37:05.903989+00:00,-0.0317,-0.9184,-0.0425
2026-07-08 09:37:05.904115+00:00,-0.1708,-1.0106,0.0361
2026-07-08 09:37:05.904204+00:00,-0.062,-0.8755,-0.0205
