timestamp,ax,ay,az
2026-07-08 09:50:56.208182+00:00,0.1313,-0.2601,-0.4128
2026-07-08 09:50:56.208742+00:00,0.1957,-1.5675,0.3997
2026-07-08 09:50:56.208943+00:00,-0.3216,0.0039,-0.5451
2026-07-08 09:50:56.209138+00:00,0.2708,-1.5089,0.3187
2026-07-08 09:50:56.209375+00:00,-0.2406,-0.8228,-0.1401
2026-07-08 09:50:56.209627+00:00,0.1308,-0.266,-0.1366
2026-07-08 09:50:56.271829+00:00,0.2098,-1.5177,0.3948
2026-07-08 09:50:56.272298+00:00,-0.3577,-0.2713,-0.3865
2026-07-08 09:50:56.272587+00:00,0.2621,-1.5006,0.286
2026-07-08 09:50:56.272877+00:00,-0.4397,-1.1058,0.0176
2026-07-08 09:50:56.273100+00:00,0.081,-0.2762,-0.1488
2026-07-08 09:50:56.273407+00:00,0.2528,-1.7788,0.3894
2026-07-08 09:50:56.335842+00:00,-0.6368,-0.6764,-0.1498
2026-07-08 09:50:56.336408+00:00,0.2494,-1.4186,0.2172
2026-07-08 09:50:56.336805+00:00,-0.4534,-1.0155,0.0786
2026-07-08 09:50:56.337320+00:00,-0.0415,-0.6861,-0.1586
2026-07-08 09:50:56.337470+00:00,-0.0883,-1.7168,0.3758
2026-07-08 09:50:56.337839+00:00,-0.6764,-0.6276,-0.1142
2026-07-08 09:50:56.423357+00:00,0.2611,-1.2049,0.2357
2026-07-08 09:50:56.424018+00:00,-0.3558,-1.0053,0.0156
2026-07-08 09:50:56.424216+00:00,0.0693,-0.6978,-0.164
2026-07-08 09:50:56.424399+00:00,-0.0512,-1.6943,0.388
2026-07-08 09:50:56.424561+00:00,-0.4026,-0.3948,-0.5314
2026-07-08 09:50:56.424695+00:00,0.2855,-1.0902,0.2137
2026-07-08 09:50:56.424872+00:00,-0.3499,-1.0629,0.0415
2026-07-08 09:50:56.425152+00:00,0.1215,-0.6129,-0.2157
2026-07-08 09:50:56.425429+00:00,-0.0532,-1.7207,0.4041
2026-07-08 09:50:56.514331+00:00,-0.4787,-0.3743,-0.5529
2026-07-08 09:50:56.514722+00:00,0.2948,-1.3708,0.2494
2026-07-08 09:50:56.515003+00:00,-0.4465,-1.0526,0.0327
2026-07-08 09:50:56.515358+00:00,0.1391,-0.712,-0.1615
2026-07-08 09:50:56.515620+00:00,-0.0649,-1.73,0.2455
2026-07-08 09:50:56.516316+00:00,-0.65,0.0498,-0.5714
2026-07-08 09:50:56.517008+00:00,0.3558,-1.5065,0.3065
2026-07-08 09:50:56.517533+00:00,-0.5368,-1.0497,-0.0024
2026-07-08 09:50:56.517860+00:00,0.1649,-0.874,0.1728
2026-07-08 09:50:56.590941+00:00,-0.0947,-1.3093,0.1747
2026-07-08 09:50:56.591455+00:00,-0.1161,0.0029,-0.5178
2026-07-08 09:50:56.591636+00:00,0.3465,-1.7319,0.4085
2026-07-08 09:50:56.591789+00:00,-0.5622,-0.9004,-0.4304
2026-07-08 09:50:56.591999+00:00,0.2689,-1.0419,0.2786
2026-07-08 09:50:56.592240+00:00,-0.2103,-0.9994,-0.0268
2026-07-08 09:50:56.592467+00:00,0.1425,-0.428,-0.3841
2026-07-08 09:50:56.592671+00:00,0.1859,-1.8964,0.5109
2026-07-08 09:50:56.682132+00:00,-0.4543,-0.6027,-0.5895
2026-07-08 09:50:56.682762+00:00,0.3357,-1.5665,0.3582
2026-07-08 09:50:56.683020+00:00,-0.4143,-0.7076,-0.0712
2026-07-08 09:50:56.683335+00:00,0.1581,-0.693,-0.1781
2026-07-08 09:50:56.683532+00:00,-0.0473,-1.9339,0.2869
2026-07-08 09:50:56.683890+00:00,-0.7218,-0.1318,-0.49
2026-07-08 09:50:56.684324+00:00,0.3299,-1.5333,0.3479
2026-07-08 09:50:56.684730+00:00,-0.6256,-1.1063,0.0322
2026-07-08 09:50:56.685241+00:00,0.1352,-0.7891,0.1
2026-07-08 09:50:56.732776+00:00,-0.1259,-1.281,0.184
2026-07-08 09:50:56.733445+00:00,-0.2664,-0.2967,-0.4104
2026-07-08 09:50:56.733686+00:00,0.3426,-1.5187,0.3392
2026-07-08 09:50:56.733876+00:00,-0.672,-1.017,-0.2596
2026-07-08 09:50:56.734073+00:00,0.1313,-0.7174,0.1718
2026-07-08 09:50:56.789264+00:00,-0.1493,-1.2351,0.1459
2026-07-08 09:50:56.789738+00:00,-0.2704,-0.3533,-0.3743
2026-07-08 09:50:56.790183+00:00,0.3323,-1.483,0.3201
2026-07-08 09:50:56.790672+00:00,-0.6739,-1.0243,-0.2723
2026-07-08 09:50:56.791120+00:00,0.1371,-1.2747,0.1669
2026-07-08 09:50:56.851341+00:00,-0.3445,-1.2415,0.1527
2026-07-08 09:50:56.851821+00:00,-0.2313,-0.3367,-0.3758
2026-07-08 09:50:56.852246+00:00,0.303,-1.465,0.3719
2026-07-08 09:50:56.852684+00:00,-0.6359,-0.3314,-0.3157
2026-07-08 09:50:56.852841+00:00,0.3138,-1.1058,0.0839
2026-07-08 09:50:56.853482+00:00,-0.326,-1.3278,0.1937
2026-07-08 09:50:56.853887+00:00,-0.0634,-0.2372,-0.3343
2026-07-08 09:50:56.917720+00:00,0.2826,-1.5714,0.3372
2026-07-08 09:50:56.918179+00:00,-0.2303,-0.5231,-0.2157
2026-07-08 09:50:56.918556+00:00,0.3362,-0.8755,-0.0356
2026-07-08 09:50:56.918847+00:00,-0.2982,-1.4533,-0.1113
2026-07-08 09:50:56.919121+00:00,-0.0249,-0.0112,-0.3802
2026-07-08 09:50:56.919467+00:00,0.2743,-1.5762,0.3274
2026-07-08 09:50:56.976701+00:00,-0.3816,-0.7491,-0.0742
2026-07-08 09:50:56.977000+00:00,0.266,-0.8823,-0.0171
2026-07-08 09:50:56.977456+00:00,-0.2723,-1.5157,0.0005
2026-07-08 09:50:56.977743+00:00,-0.1137,-0.2484,-0.4153
2026-07-08 09:50:56.978004+00:00,0.161,-1.6358,0.3675
2026-07-08 09:50:56.978270+00:00,-0.4534,-0.7857,-0.0669
2026-07-08 09:50:57.025165+00:00,0.2723,-1.0082,0.1347
2026-07-08 09:50:57.025607+00:00,-0.2635,-1.0931,0.0532
2026-07-08 09:50:57.025942+00:00,0.0059,-0.2367,-0.4216
2026-07-08 09:50:57.026404+00:00,0.161,-1.6602,0.3899
2026-07-08 09:50:57.026623+00:00,-0.4646,-0.6905,-0.4851
